source,author,title,description,url,urltoimage,publishedat,content
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Ved Ghulghule,Mahal dreads traffic congestion as festive shopping season begins,"With Shravan around the corner, locals say illegal parking in residential lanes and hawker spillover will once again choke one of the city’s oldest commercial hubs until the festive season ends",https://timesofindia.indiatimes.com/city/nagpur/mahal-dreads-traffic-congestion-as-festive-shopping-season-begins/articleshow/132647595.cms,"https://static.toiimg.com/thumb/msid-132647594,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg",2026-07-26T19:48:19Z,"<ul><li>News</li>
<li>Mahal dreads traffic congestion as festive shopping season begins</li></ul>
Follow Us On Social Media
Persistent harassment and marriage pressure amounted to abetment of suic… [+1144 chars]"
"{'id': None, 'name': 'TheJournal.ie'}",The Journal reader,Money Diaries: An administrator on €35K living in the Midlands,"This week, our reader is managing to enjoy the good weather without spending too much along the way.",https://www.thejournal.ie/readme/money-diaries-spending-saving-94-7103938-Jul2026/,https://img2.thejournal.ie/article/7103938/river/?height=400&version=7103939,2026-07-26T19:00:33Z,"WELCOME TO HOW I Spend My Money, a series on The Journal that looks at how people in Ireland really handle their finances. 
Are you a spender, a saver or a splurger? Were asking readers to keep a re… [+8494 chars]"
"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}","Michael Atkin, Maryanne Taouk, and Lucy Kent",Kogan running 'clone' website selling same products at higher prices,"An ABC investigation has discovered that leading online retailer Kogan is operating a second website called Exclusive Brands, selling the same products with large price hikes.",https://www.abc.net.au/news/2026-07-27/kogan-exclusive-brands-website-pricing/106891632,https://live-production.wcms.abc-cdn.net.au/7e3d07901dcc1df65ec38b457ad89af9?impolicy=wcms_watermark_news&cropH=1081&cropW=1922&xPos=0&yPos=0&width=862&height=485&imformat=generic,2026-07-26T18:59:25Z,"Leading online retailer Kogan is operating a second ""clone"" website to sell the same popular products at mostly higher prices, the ABC can reveal.
The little-known website, called Exclusive Brands, … [+14533 chars]"
"{'id': None, 'name': 'Highsnobiety'}",,adidas’ Most Stylish Mary Jane Sneaker Just Went Platinum,adidas releases a new shiny Samba Jane sneaker dressed in a silver metallic outfit. The ballet model has gone platinum for real this time.,https://www.highsnobiety.com/p/adidas-samba-jane-silver/,https://www.highsnobiety.com/static-assets/dato/1785079378-adidas-samba-jane-silver-0.jpg,2026-07-26T18:51:19Z,"The adidas Samba Jane has gone platinum. The leading ballet-style model already went triple platinum in the streets. But now, it's dressing like it.
adidas' latest pairs appear with crinkled leather… [+1425 chars]"
"{'id': None, 'name': 'VT'}",Asiya Ali,Rosie O'Donnell says one drug 'saved my life' after heartbreaking childhood trauma,"Rosie O'Donnell has credited one drug for ""saving"" her life after opening up about childhood trauma.",https://vt.co/entertainment/celebrity/rosie-odonnell-one-drug-saved-my-life-childhood-trauma,"https://images.vt.co/dltj72yijj96u.cloudfront.net/wp-content/uploads/GettyImages-2287145462.jpg_pD0WII?tr=cr-0.56.764.486,f-webp,q-70,w-1200,h-675",2026-07-26T18:46:58Z,"Rosie O'Donnell has credited one drug for ""saving"" her life after opening up about childhood trauma.
In a recent interview with PEOPLE, the 64-year-old described Mounjaro as a ""miracle drug"" after l… [+4167 chars]"
"{'id': None, 'name': 'Boredpanda.com'}",Lei RV,6 Criminal Cases That Proved The Human Mind Can Be Truly Terrifying,"Some criminal cases stay in the headlines for years, while others continue to haunt people long after the verdict.",https://www.boredpanda.com/criminal-cases-that-proved-human-mind-can-be-terrifying/,https://static.boredpanda.com/blog/wp-content/uploads/2026/07/fb_image_6a66161be1cb4.png,2026-07-26T18:42:32Z,"For years, Argentina believed it knew who slain María Marta García Belsunce.
The country watched her husband and several relatives stand trial, listened to accusations of a family cover-up, and deba… [+4987 chars]"
"{'id': None, 'name': 'BusinessLine'}",Harish Bhat,Every weekend is now a time of festive spending and cheer,Explore how urban India's booming weekend economy presents unique opportunities for marketers and city planners to enhance consumer experiences.,https://www.thehindubusinessline.com/catalyst/every-weekend-is-now-a-time-of-festive-spending-and-cheer/article71270402.ece,https://bl-i.thgim.com/public/incoming/rzvsmi/article71270403.ece/alternates/LANDSCAPE_1200/12dctngr-angr-SGGNG7U897.5.jpg.jpg,2026-07-26T18:42:00Z,"On a recent Saturday evening, I was at Church Street in central Bengaluru. It was virtually impossible to walk on this road because it was jam-packed with hundreds of shoppers and revellers. There we… [+3572 chars]"
"{'id': None, 'name': 'Johnnyjet.com'}",Melissa Curtin,"The Last Frontier Starts Here: Wildlife, Glaciers and Gastronomy in Juneau, Alaska","Whether you have a few hours between shore excursions or several days to explore, Juneau invites you to create a unique Alaskan adventure. Nestled between towering mountains and the pristine...
The post The Last Frontier Starts Here: Wildlife, Glaciers and Ga…",https://johnnyjet.com/the-last-frontier-starts-here-wildlife-glaciers-and-gastronomy-in-juneau-alaska/,https://johnnyjet.com/wp-content/uploads/2026/07/IMG_2243-2-scaled.jpeg,2026-07-26T18:29:47Z,"Whether you have a few hours between shore excursions or several days to explore, Juneau invites you to create a unique Alaskan adventure. Nestled between towering mountains and the pristine waters o… [+12277 chars]"
"{'id': None, 'name': 'Screen Rant'}",ScreenRant Team,Inside ScreenRant's SDCC 2026 Talent Suite: The Entertainment Earth Collection on Display,"If you liked what you saw in our SDCC 2026 talent suite interviews, you're in luck — a lot of it is available to add to your own collection.",https://screenrant.com/entertainment-earth-collectibles-screenrant-sdcc-2026-talent-suite/,https://static0.srcdn.com/wordpress/wp-content/uploads/2026/07/feature-image-media-suite-collection.jpg?w=1600&h=900&fit=crop,2026-07-26T18:25:45Z,"In a partnership with Entertainment Earth, ScreenRant filled the talent suite with figures and collectibles repping reader-favorite shows and movies including Rings of Power, King of the Hill, Stuart… [+3705 chars]"
"{'id': None, 'name': 'Heavy.com'}",Cole Sullivan,Giants Make Decision on Potential Jung Hoo Lee Trade: Report,"The San Francisco Giants are expected to be sellers ahead of the upcoming MLB trade deadline on Aug. 3.That said, which players they are willing to move remains the bigger question, and trade interest has centered around outfielder Jung Hoo Lee, who is in his…",https://heavy.com/sports/mlb/san-francisco-giants/giants-make-decision-on-potential-jung-hoo-lee-trade-report/,https://s.yimg.com/lo/mysterio/api/0d5815527e3b9ba91f833b4e3e069532c4f228af6f66473cd13c78e37e9249df/lightyear_networkapi/resizefill_w1200;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Fheavy_214%2Fbb40ff8fd8bd606ceae193db50c8d544,2026-07-26T18:25:07Z,"The San Francisco Giants are expected to be sellers ahead of the upcoming MLB trade deadline on Aug. 3.
That said, which players they are willing to move remains the bigger question, and trade inter… [+1577 chars]"
